Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
"45036 : Cicero, Marcus Tullius","La Sale, Antoine de, 1385?-1461?; Knoellinger, Hermann, 1883-1914; Derz, Friedrich (1913-); 89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Epistulae ad Atticum (80941);Epistulae ad Brutum (80942);Epistula ad Octavianum (dub.) (80940),M. Tullii Ciceronis Scripta quae manserunt omnia,Lipsiae,in aedibus B. G. Teubneri,1878,https://catalog.hathitrust.org/Record/100199321,1878,,10 v.,,,Hathi Trust,University of Illinois at Urbana-Champaign,Ancient.; Oratory,
"45036 : Cicero, Marcus Tullius","Friedrich, Wilhelm; 89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903","Rhetorica ad Herennium (dub.) (80988);De Inventione (80929);De Oratore (80936);Brutus (80920);De Optimo Genere Oratorum (80935); De Partitione Oratoria (80937);Topica (80990);Academica (80917);De Finibus (80927);Tusculanae Disputationes (80991);Pro Quinctio (80979);Pro S. Roscio Amerino (80983);Pro Q. Roscio Comoedo (80978);Commentarii in diuinationem in Q. Caecilium (dub.) (84207);In Verrem (80953);Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967); Pro Cluentio (80969); De Lege Agraria (80931); Pro Rabirio Perduellionis Reo (80980); In Catilinam (80948); Pro Murena (80976); Pro Sulla (80986); Pro Archia (80965); Pro Flacco (80970); Post Reditum in Senatu (80964); Post Reditum ad Populum (80963)De Haruspicum Responso (80928); De Domo Sua (80925);Pro Sestio (80985);In Vatinium (80952); Pro Caelio (80968); De Provinciis Consularibus (80938); Pro Balbo (80966); In Pisonem (80949); Pro Plancio (80977); Pro Scauro (80984); Pro Rabirio Postumo (80981); Pro Milone (80975); Pro Marcello (80974); Pro Ligario (80973); Pro Rege Deiotaro (80982); Philippicae (80961);De Natura Deorum (80933);De Divinatione (80924);De Fato (80926);De Republica (80939);De Legibus (80932);De Officiis (80934);Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960);Timaeus (80989);epistulae, fragmenta (80945)",M. Tullii Ciceronis Scripta quae manserunt omnia,Lipsiae,B. G. Teubner,1908,https://catalog.hathitrust.org/Record/002239967,1908,,10 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
"45036 : Cicero, Marcus Tullius","Wesenberg, Albert Sadolin, 1804-1876; 89575 : Klotz, Reinhold, 1807-1870",Pro Sestio (80985); In Vatinium (80952); Pro Caelio (80968); Epistulae ad Familiares (80943); Epistulae ad Atticum (80941); Academica (80917); De Finibus (80927); Tusculanae Disputationes (80991); De Officiis (80934); Cato Maior de Senectute (80922); Laelius de Amicitia (80955); Paradoxa Stoicorum (80960);incertorum librorum fragmenta (80954);Pro Scauro (80984);Timaeus (80989);oratio pridie quam in exilium iret (91233); In Sallustium (dub.) (80951);Incerti auctoris tractatus de adtributis personae et negotio (siue Commentarius in Ciceronis de Inuentione) (84337),M. Tullii Ciceronis Scripta quae manserunt omnia,Lipsiae,sumptibus et typis B. G. Teubneri,1861,https://catalog.hathitrust.org/Record/009780231,1861,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);,"M. Tullii Ciceronis Orationes: Pro M. Tullio, Pro M. Fonteio, Pro A. Caecina, De imperio Cn. Pompeii (Pro lege Manilia)",Lipsiae,in aedibus B. G. Teubneri,1906,https://catalog.hathitrust.org/Record/100485588,1906,99 p.,,M. Tullii Ciceronis Orationes,,Hathi Trust,Harvard University,,
"45036 : Cicero, Marcus Tullius","89575 : Klotz, Reinhold, 1807-1870",Pro Quinctio (80979);Pro S. Roscio Amerino (80983);Pro Q. Roscio Comoedo (80978),"M. Tullii Ciceronis Orationes pro P. Quinctio, pro Sex. Roscio Amerino, pro Q. Roscio Comoedo.",Lipsiae,B.G. Teubner,1877,https://catalog.hathitrust.org/Record/100794219,1877,86 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California,,
"45036 : Cicero, Marcus Tullius","Monet, Pascal",Laelius de Amicitia (80955),M. Tullii Ciceronis Lælius de amicitia: texte Latin,Paris,A. Colin,1895,https://catalog.hathitrust.org/Record/009621931,1895,127 p.,,M. Tullii Ciceronis Lælius de amicitia,,Hathi Trust,University of California,COPIED TO NOT TEUBNER,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Epistulae ad Atticum (80941),M. Tullii Ciceronis epistolarum ad Atticum: libri I-IV,Lipsiae,B.G. Teubner,1905,https://catalog.hathitrust.org/Record/100639281,1905,128 p.,,M. Tullii Ciceronis epistolarum ad Atticum,,Hathi Trust,University of California,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Epistulae ad Atticum (80941),M. Tullii Ciceronis Epistolarum ad Atticum,Lipsiae,B. G. Teubner,1898,https://catalog.hathitrust.org/Record/008521412,1898,,4 v.,,,Hathi Trust,University of California,,
"45036 : Cicero, Marcus Tullius","84053 : Dietsch, Heinrich Rudolf, 1814-1875; 89575 : Klotz, Reinhold, 1807-1870",Epistulae ad Atticum (80941);Epistulae ad Familiares (80943);Epistulae ad Brutum (80942),M. Tullii Ciceronis Epistolae seletae,Lipsiae,in aedibus B. G. Teubneri,1860,https://catalog.hathitrust.org/Record/011559231,1860,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
"45036 : Cicero, Marcus Tullius","89575 : Klotz, Reinhold, 1807-1870; 84053 : Dietsch, Heinrich Rudolf, 1814-1875",Epistulae ad Familiares (80943);Epistulae ad Atticum (80941),"M. Tullii Ciceronis Epistolae selectae: ex Reinholdi Klotzii recensione, scholarum in usum",Lipsiae,in aedibus B.G. Teubneri,1908,https://catalog.hathitrust.org/Record/100165974,1908,,,,,Hathi Trust,The Ohio State University,,
"45036 : Cicero, Marcus Tullius","Knoellinger, Hermann, 1883-1914",De virtutibus (91232),M. Tullii Ciceronis De virtutibus libri fragmenta,Lipsiae,in aedibus B. G. Teubneri,1908,https://catalog.hathitrust.org/Record/006792424,1908,96 p.,,,,Hathi Trust,Indiana University,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",De Officiis (80934),M. Tullii Ciceronis De officiis libri tres,Lipsiae,in aedibus B. G. Teubneri,1909,https://catalog.hathitrust.org/Record/100897116,1909,130 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Iowa,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",De Officiis (80934),M. Tullii Ciceronis De officiis libri tres,Lipsiae,in aedibus B. G. Teubneri,1884,https://catalog.hathitrust.org/Record/012508642,1884,130 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,,
"45036 : Cicero, Marcus Tullius","89575 : Klotz, Reinhold, 1807-1870",De Legibus (80932),M. Tullii Ciceronis De legibus libri tres.,Lipsiae,sumptibus et typis B. G. Teubneri,1855,https://catalog.hathitrust.org/Record/001808253,1855,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",De Finibus (80927),M. Tullii Ciceronis De finibus bonorum et malorum libri quinque,Lipsiae,In aedibus B. G. Teubneri,1908,https://catalog.hathitrust.org/Record/100851429,1908,,,,,Hathi Trust,University of California,Early works to 1800; Ethics,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960),"M. Tullii Ciceronis Cato maior de senectute, Laelius de amicitia, paradoxa.",Leipzig,B.G. Teubner,1909,https://catalog.hathitrust.org/Record/100851443,1909,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of California,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Cato Maior de Senectute (80922);Laelius de Amicitia (80955);Paradoxa Stoicorum (80960),"M. Tullii Ciceronis Cato maior de senectute, Laelius de amicitia, Paradoxa",Lipsiae,B. G. Teubner,1883,https://catalog.hathitrust.org/Record/009780250,1883,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Virginia,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",De Natura Deorum (80933);De Divinatione (80924);De Fato (80926);De Republica (80939);De Legibus (80932);,M. Tulli Ciceronis Scripta quae manserunt omnia.,Lipsiae,in aedibus B. G. Teubneri,1910,https://catalog.hathitrust.org/Record/011589464,1910,10 v.,10 v.,,,Hathi Trust,University of California,,
"45036 : Cicero, Marcus Tullius","Schiche, Theodor",De Finibus (80927),"M. Tulli Ciceronis scripta quae manserunt omnia, Fasc. 43: De finibus bonorum et malorum libri quinque",Lipsiae,in aedibus B. G. Teubneri,1915,https://catalog.hathitrust.org/Record/011225394,1915,215 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Minnesota,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);Pro Cluentio (80969);De Lege Agraria (80931);Pro Rabirio Perduellionis Reo (80980);In Catilinam (80948);Pro Murena (80976);Pro Sulla (80986);Pro Archia (80965);Pro Flacco (80970);Post Reditum in Senatu (80964);Post Reditum ad Populum (80963);De Domo Sua (80925);De Haruspicum Responso (80928);Epistulae ad Atticum (80941);Epistulae ad Brutum (80942);Epistula ad Octavianum (dub.) (80940),M. Tulli Ciceronis Scripta quae manserunt omina,Lipsiae,in aedibus B. G. Teubneri,1889,https://catalog.hathitrust.org/Record/100739531,1889,,4 v.,,,Hathi Trust,University of Chicago,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Pro S. Roscio Amerino (80983);In Q. Caecilium (80950);In Verrem (80953);Pro Lege Manilia (80972);In Catilinam (80948);Pro Murena (80976),M. Tulli Ciceronis Orationes selectae XXI,Lipsiae,in aedibus B. G. Teubneri,1905,https://catalog.hathitrust.org/Record/100783165,1905,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Iowa,,
"45036 : Cicero, Marcus Tullius","Inama, Vigilio, 1835-1912; Romarino, Felice",Cato Maior de Senectute (80922);Laelius de Amicitia (80955),M. Tulli Ciceronis Libri qui ad philosophiam spectant.,Mediolani [Italy],Ulricum Hoeplium,1893,https://catalog.hathitrust.org/Record/008009819,1893,,2 v.,,,Hathi Trust,University of California,COPIED TO NOT TEUBNER,
"45036 : Cicero, Marcus Tullius","Meissner, Carl, 1830-1900",Laelius de Amicitia (80955),M. Tulli Ciceronis Laelius de amicitia,Leipzig,B. G. Teubner,1898,https://catalog.hathitrust.org/Record/007964495,1898,70 p.,,,,Hathi Trust,University of Wisconsin - Madison,,
"45036 : Cicero, Marcus Tullius","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Epistulae ad Familiares (80943),M. Tulli Ciceronis Epistularum ad familiares libri I-IV,Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/100894746,1900,104 p.,,,,Hathi Trust,University of California,"Rome; Authors, Latin; Correspondence.; Statesmen",
"45036 : Cicero, Marcus Tullius","Klotz, Alfred, 1874-1956",Pro S. Roscio Amerino (80983),M. Tulii Ciceronis scholarum in usum scripta selecta.,Lipsiae,B. G. Teubner,1921,https://catalog.hathitrust.org/Record/100151423,1921,48 p.,,,,Hathi Trust,Cornell University,,
"45112 : Ovid, 43 B.C.-17 A.D. or 18 A.D.","89684 : Merkel, Rudolf, 1811-1885; Ehwald, Rudolf, 1847-1927",Amores (81130);Heroides (81134);Medicamina Faciei Femineae (81140);Ars Amatoria (81131);Remedia Amoris (81143),P. Ovidius Naso,Lipsiae,in aedibus B. G. Teubneri,1887,https://catalog.hathitrust.org/Record/100644116,1887,,3 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Iowa,,
45884 : Phaedrus,"84127 : Müller, Lucian, 1836-1898",Fabulae Aesopiae (81796),"Phaedri, Augusti liberti fabulae Aesopiae.",Lipsiae,in aedibus B. G. Teubneri,1922,https://catalog.hathitrust.org/Record/009623101,1922,66 p.,,,,Hathi Trust,University of California,,
45165 : Horace,"84186 : Vollmer, Friedrich, 1867-1923",Sermones (81170);Ars Poetica (81165);Carmen Saeculare (81166);Carmina (81167);Epistulae (81168);Epodi (81169),Q. Horati Flacci Carmina,Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/100384241,1907,390 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
"45036 : Cicero, Marcus Tullius","89575 : Klotz, Reinhold, 1807-1870; La Sale, Antoine de, 1385?-1461?; Knoellinger, Hermann, 1883-1914; 89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",Pro Tullio (80987);Pro Fonteio (80971);Pro Caecina (80967);Pro Lege Manilia (80972);Pro Cluentio (80969);De Lege Agraria (80931);Pro Rabirio Perduellionis Reo (80980);In Catilinam (80948);Pro Murena (80976);Pro Sulla (80986);Pro Archia (80965);Pro Flacco;Post Reditum in Senatu (80964);Post Reditum ad Populum (80963);De Domo Sua (80925);De Haruspicum Responso (80928),Scripta quae manserunt omnia,Lipsiae,in aedibus B. G. Teubneri,1878,https://catalog.hathitrust.org/Record/100739549,1878,,4 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Chicago,,
"45615 : Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","89459 : Gercke, Alfred, 1860-1922; 89460 : Hermes, Emil, 1847-1911; 89461 : Haase, Friedrich, 1808-1867; 89695 : Heuse, Otto, 1902-; 84097 : Hosius, Carl, 1866-1937",Epistulae Morales ad Lucilium (81578),L. Annaei Senecae opera qvae svpersvnt,Lipsiae,in aedibus B. G. Teubneri,1898,https://catalog.hathitrust.org/Record/012187628,1898,,4 v.,,,Hathi Trust,Columbia University,,
"45615 : Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","89460 : Hermes, Emil, 1847-1911",De Providentia (89624);De Constantia (89628);De Ira (89619);De Consolatione ad Marciam (89627);De Vita Beata (89622);De Otio (89620);De Tranquillitate Animi (89623);De Brevitate Vitae (89621);De Consolatione ad Polybium (89625);De Consolatione ad Helviam (89626),L. Annaei Senecae Dialogorum libros XII,Lipsiae,in aedibus B. G. Teubneri,1905,https://catalog.hathitrust.org/Record/101696787,1905,,,,,Hathi Trust,University of Illinois at Urbana-Champaign,,
"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886","84104 : Kübler, Bernhard, 1859-1940; 89616 : Seckel, Emil, 1864-1924",,Ivrisprvdentiae anteivstinianae reliqvias in vsvm maxime academicvm,Lipsiae,in aedibus B. G. Teubneri,1908,https://catalog.hathitrust.org/Record/006922603,1908,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
