Nid,Node UUID,Title,Authorized Name,Author Name Latin,Author Name English,Author Name Native Language,Also known as,Other Alternative Name Form(s),Author Birth Date,Author Death Date,Floruit/Active,Modern Geographic Identity,Ancient Geographic Identity,Time Period,Source,LoC Source,LofC URI,LoC ID,VIAF Source,VIAF ID,PHI Author Name,PHI Number,PHI or Stoa Number,DigilibLT Number,Perseus Name,Stoa Number,Perseus URN,CTS URN,Author Name Abbreviations,Path,Post date,BNE Name,BNE URL,BNF Name,BNF URL,DNB Name,DNB URL,ICCU Name,ICCU URL,ISNI Name,ISNI URL,Wikidata URL,Wikipedia,WorldCat Identity,DLL Identifier,DLL Number
91590,,"91590 : Mommsen, Theodor, 1817-1903","Mommsen, Theodor, 1817-1903",,,Christian Matthias Theodor Mommsen,,,1817,1903,19th Century A.D. 20th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/n50004383,http://id.loc.gov/authorities/names/n50004383,n50004383,http://viaf.org/viaf/7402506,7402506,,,,,,,,,,/alli/node/91590,8/31/2018 22:00,"Mommsen, Teodoro (1817-1903)",http://datos.bne.es/resource/XX1010875,,," Mommsen, Theodor",http://d-nb.info/gnd/118583425,,,Christian Matthias Theodor Mommsen,http://www.isni.org/isni/0000000120988990,https://www.wikidata.org/wiki/Q25351#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Theodor_Mommsen,https://www.worldcat.org/identities/lccn-n50004383/,A5992,5992
91589,41edc9cb-0232-4d99-b4a2-530a819a872e,"91589 : Malcovati, Enrica","Malcovati, Enrica",,,,,,1894,1990,20th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/n82239184,http://id.loc.gov/authorities/names/n82239184,n82239184,http://viaf.org/viaf/108604095,108604095,,,,,,,,,,/alli/node/91589,8/31/2018 21:37,,,"Malcovati, Enrica, 1894-1990",http://catalogue.bnf.fr/ark:/12148/cb121794579,"Malcovati, Enrica ",http://d-nb.info/gnd/119049945,"Malcovati, Enrica ",http://opac.sbn.it/opacsbn/opac/iccu/scheda_authority.jsp?bid=IT%5CICCU%5CCFIV%5C109237,"Malcovati, E.",http://www.isni.org/isni/0000000121470608,https://www.wikidata.org/wiki/Q28194637#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-n82239184/,A5991,5991
91588,b200e353-d045-40e9-b1ee-92c96647ca1a,"91588 : Urba, Karl Franz","Urba, Karl Franz",Carolus Urba,,Karl Franz Urba,,,1860,,19th Century A.D. 20th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/nr96044285,http://id.loc.gov/authorities/names/nr96044285,nr96044285,http://viaf.org/viaf/18121786,18121786,,,,,,,,,,/alli/node/91588,8/31/2018 21:30,,,"Urba, Carl Franz, 1860-19..",http://catalogue.bnf.fr/ark:/12148/cb12431943r," Vrba, Karl Franz ",http://d-nb.info/gnd/123076528,,,"Urba, Carl F.",http://www.isni.org/isni/0000000078333906,,,https://www.worldcat.org/identities/lccn-nr96044285/,A5990,5990
91587,276ff494-5c1c-469e-883f-aeb3160e1b25,"91587 : Crenius, Thomas, 1648-1728","Crenius, Thomas, 1648-1728",Thomas Crenius,,,,Thomas Theodor Crusius,1648,1728,17th Century A.D. - 18th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/n84233882,http://id.loc.gov/authorities/names/n84233882,n84233882,http://viaf.org/viaf/49216694,49216694,,,,,,,,,,/alli/node/91587,8/31/2018 21:17,"Crenius, Thomas (1648-1728)",http://datos.bne.es/resource/XX898417,"Crusius, Thomas Theodor, 1648-1728",http://catalogue.bnf.fr/ark:/12148/cb10725591h,"Crenius, Thomas",http://d-nb.info/gnd/100095089,,,"Crenius, Thomas",http://www.isni.org/isni/0000000117621207,https://www.wikidata.org/wiki/Q21545803#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-n84233882/,A5989,5989
91586,71ad7164-e234-4af9-ba45-ec917ec8a95f,"91586 : Purser, Louis Claude, 1854-1932","Purser, Louis Claude, 1854-1932",Ludovicus Claudius Purser,Louis Claude Purser,,,,1854,1932,19th Century A.D. 20th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/n87812510,http://id.loc.gov/authorities/names/n87812510,n87812510,http://viaf.org/viaf/24683540,24683540,,,,,,,,,,/alli/node/91586,8/30/2018 20:19,,,"Purser, Louis Claude (1854-1932)",https://catalogue.bnf.fr/ark:/12148/cb12383227x,"Purser, Louis Claude",http://d-nb.info/gnd/116313633,,,Louis Claude Purser,http://www.isni.org/isni/0000000108798027,https://www.wikidata.org/wiki/Q6686912#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Louis_Claude_Purser,https://www.worldcat.org/identities/lccn-n87812510/,A5988,5988
91585,d970acfc-2d3f-4cce-830b-db3169cc87ca,"91585 : Weyman, Carl","Weyman, Carl",Carolus Weyman,Carl Weyman,,,,1862,1931,19th Century A.D. 20th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/n84160114,http://id.loc.gov/authorities/names/n84160114,n84160114,http://viaf.org/viaf/29957741,29957741,,,,,,,,,,/alli/node/91585,8/30/2018 20:04,,,"Weyman, Carl (1862-1931)",https://catalogue.bnf.fr/ark:/12148/cb10259511r,"Weyman, Carl",http://d-nb.info/gnd/117332771,,,Carl Weyman,http://www.isni.org/isni/0000000107791931,https://www.wikidata.org/wiki/Q1041026#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-n84160114/,A5987,5987
91579,54d813bf-9bbb-4f4a-8587-748461e4bd0f,"91579 : Fabricius, Johann Albert, 1668-1736","Fabricius, Johann Albert, 1668-1736",Iohannes Albertus Fabricius,,,,,1668,1736,17th Century A.D. - 18th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/c.gov/authorities/names/n85801802,https://id.loc.gov/authorities/names/n85801802,n85801802,http://viaf.org/viaf/24623353,24623353,,,,,,,,,,/alli/node/91579,8/25/2018 22:04,,,Fabricius Johann Albert 1668-1736,http://catalogue.bnf.fr/ark:/12148/cb120649631,"Fabricius, Johann Albert 1668-1736",http://d-nb.info/gnd/100099459,,,"Fabricius, Johann Albert",http://isni.org/isni/0000000108794245,https://www.wikidata.org/entity/Q61894#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Johann_Albert_Fabricius,https://www.worldcat.org/identities/lccn-n85801802,A5982,5982
91580,766cb4ee-7ff7-43af-bf01-be790267eb9c,"91580 : Chifflet, Claude, 1541-1580","Chifflet, Claude, 1541-1580",Claudius Chifletius,,,,,1541,1580,16th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/c.gov/authorities/names/n00063724,https://id.loc.gov/authorities/names/n00063724,n00063724,http://viaf.org/viaf/20741956,20741956,,,,,,,,,,/alli/node/91580,8/25/2018 22:04,,,,,"Chifflet, Claude 1541-1580",http://d-nb.info/gnd/128672811,,,Claude Chifflet,http://isni.org/isni/0000000061197039,https://www.wikidata.org/entity/Q2977189#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-n00063724,A5983,5983
91581,b81017d8-7293-43f5-8ac4-b9d475639e4b,"91581 : Valois, Adrien de, 1607-1692","Valois, Adrien de, 1607-1692",Hadrianus Valesius,,,,,1607,1692,17th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/c.gov/authorities/names/nr2004007801,https://id.loc.gov/authorities/names/nr2004007801,nr2004007801,http://viaf.org/viaf/76423679,76423679,,,,,,,,,,/alli/node/91581,8/25/2018 22:04,,,Valois Adrien de 1607-1692,http://catalogue.bnf.fr/ark:/12148/cb12516741g,"Valois, Adrien de 1607-1692",http://d-nb.info/gnd/100569013,,,"Valois, Adrien de 1607-1692",http://isni.org/isni/0000000079781209,https://www.wikidata.org/entity/Q2825298#sitelinks-wikipedia,,https://www.worldcat.org/identities/lccn-nr2004007801,A5984,5984
91582,7988eb0f-b821-458d-bc29-ae724c9e9ca1,"91582 : Valois, Henri de, 1603-1676","Valois, Henri de, 1603-1676",Henricus Valesius,,,,,1603,1676,17th Century A.D.,,,Neo-Latin,,https://lccn.loc.gov/c.gov/authorities/names/n83196983,https://id.loc.gov/authorities/names/n83196983,n83196983,http://viaf.org/viaf/56632745,56632745,,,,,,,,,,/alli/node/91582,8/25/2018 22:04,,,Valois Henri de 1603-1676,http://catalogue.bnf.fr/ark:/12148/cb120716432,"Valois, Henri de 1603-1676",http://d-nb.info/gnd/128969148,"Valois , Henri : de &lt;1603-1676&gt;",http://id.sbn.it/af/IT\ICCU\SBLV\315637,"Valesius, Henricus 1603-1676",http://isni.org/isni/0000000080774014,https://www.wikidata.org/entity/Q1216298#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Henri_Valois,https://www.worldcat.org/identities/lccn-n83196983,A5985,5985
