URI,Title,DLL Author,DLL Title,Creator,Time,Publisher,Date,Source,URL,Rights
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/21,Die Briefwechsel der Mathematiker Bernoulli,"71168 : Bernoulli, Daniel, 1700-1782;xx",XX,Fritz Nagel,Early Modern,University of Basel,1997,University of Basel,http://www.ub.unibas.ch/bernoulli/index.php/Hauptseite,Open Access and Open Source. All data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/113,Conclusiones CM,"45457 : Pico della Mirandola, Giovanni",xx,Massimo Riva,Middle Ages,Brown University,2002,British Library,http://www.stg.brown.edu/projects/pico/about.php,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/83,D. Iunii Iuvenalis Saturae,44692 : Juvenal,Saturae (80404),Michael Hendry,Antiquity,none,1998 - 2001,Various,http://www.curculio.org/Juvenal/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/243,Johannes Tinctoris: Complete Theoretical Works,"92453 : Tinctoris, Johannes, -1511","xx, et alia",Ronald Woodley,Middle Ages,Birmingham Conservatoire of Birmingham City University,2011,Various,http://earlymusictheory.org/Tinctoris/,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/32,The St Gall Priscian Glosses,"52597 : Priscian, active approximately 500-530",Institutiones grammaticae (81941),Pádraic Moran,Middle Ages,National University of Ireland,2009 - 2011,Stiftsbibliothek St. Gallen,http://www.stgallpriscian.ie,Open Access and Open Source. All data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/14,Becerro Galicano of San Millán de la Cogolla,Anonymous,XX,David Peterson,Middle Ages,Universidad del País Vasco,None,Various,http://www.ehu.es/galicano/?l=en,Open Access and Open Source. Part of the data underlying the digital edition is freely available for access and reuse.
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/12,Catullus Online,"44793 : Catullus, Gaius Valerius",Carmina (87405);Carminum fragmenta (87406),Dániel Kiss,Antiquity,Ludwig-Maximilians-Universität München,2009 - 2013,Various,http://www.catullusonline.org/CatullusOnline/index.php,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/101,Edition der falschen Kapitularien des Benedictus Levita,Anonymous,XX,Gerhard Schmitz;Veronika Lukas,Middle Ages,Monumenta Germaniae Historica,1998,Troyes BM;Monserrat BA;Bibliothèque Nationale de France;Biblioteca Apostolica Vaticana,http://www.benedictus.mgh.de/,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/78,M. Valerii Martialis Epigrammaton Liber IV,45037 : Martial,Epigrammata (80993),Michael Hendry,Antiquity,Bowling Green State University,2005 - 2007,not provided,http://www.curculio.org/Martial/Martial04.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
https://dig-ed-cat.acdh.oeaw.ac.at/editions/detail/172,The Burnet Psalter,"44880 : Jerome, Saint, 419 or 420",Liber Psalmorum (89322),not provided,Middle Ages,University of Aberdeen,1994,Aberdeen University Library,http://www.abdn.ac.uk/diss/historic/collects/bps/index.html,"Open Access. The texts may be accessed through specific software, but the source is not accessible."
