Ed1;Ed2;2;3;4;5
"84185: Vliet, Joannes van der, 1847-1902"
"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966"
"84185: Vliet, Joannes van der, 1847-1902"
"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966"
""
"84183 : Thomas, Paul, 1852-1937;84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966"
"89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906"
"84053 : Dietsch, Heinrich Rudolf, 1814-1875;84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845"
"84053 : Dietsch, Heinrich Rudolf, 1814-1875;84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845"
""
"84127 : Müller, Lucian, 1836-1898"
"91810 : Gilbert, Walther, 1851-"
""
"91864 : Pichlmayr, Franz, 1861-1926"
""
""
"91789 : Breysig, Alfred August Bernhard, 1831-1901"
"89563 : Mohr, Paul"
""
""
""
"89571 : Fleckeisen, Alfred, 1820-1899"
"89571 : Fleckeisen, Alfred, 1820-1899"
"84045 : Baehrens, Emil, 1848-1888"
"89607 : Lang, Carl, 1841-"
"91713 : 91713 : Ribbeck, Otto, 1827-1898"
"84054 : Dinter, Bernard"
"84054 : Dinter, Bernard"
""
""
"84104 : Kübler, Bernhard, 1859-1940"
"84190: Wölfflin, Eduard von, 1831-1908;84104 : Kübler, Bernhard, 1859-1940"
"84190 : Wölfflin, Eduard von, 1831-1908;84104 : Kübler, Bernhard, 1859-1940"
"84125 : Miodoński, Adam Stefan, 1861-1913;84190 : Wölfflin, Eduard von, 1831-1908"
""
"84108 : Keil, Heinrich, 1822-1894"
"84089 : Goetz, Georg, 1849-1932"
"91869 : Ranke, Friedrich, 1882-1950"
"91796 : Dederich, Andreas, 1804-"
"89694 : Gundermann, Gotthold, 1856-1921"
"91731 : Frick, Karl, 1848-"
"89461 : Haase, Friedrich, 1808-1867"
"84186 : Vollmer, Friedrich, 1867-1923;84088 : Giarratano, Caesar, 1880-"
"91844 : La Sale, Antoine de, 1385?-1461?;91836 : Knoellinger, Hermann, 1883-1914;91797 : Derz, Friedrich W.;89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903"
"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903"
"91893 : Wesenberg, Albert Sadolin, 1804-1876;89575 : Klotz, Reinhold, 1807-1870"
"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903"
"89575 : Klotz, Reinhold, 1807-1870"
