,name,,
0,"La Sale, Antoine de, 1385?-1461?",http://viaf.org/viaf/95150005,"La Sale, Antoine de, 1385?-1461?"
1,"Knoellinger, Hermann, 1883-1914",http://viaf.org/viaf/69677212,"Knoellinger, Hermann, 1883-1914"
2,"Derz, Friedrich (1913-)",http://viaf.org/viaf/255335688,"Derz, Friedrich (1913-)"
3,"Wesenberg, Albert Sadolin, 1804-1876",http://viaf.org/viaf/166719978,"Wesenberg, Albert Sadolin, 1804-1876"
4,"Monet, Pascal",http://viaf.org/viaf/37019864,"Monet, Pascal"
6,"Schiche, Theodor",http://viaf.org/viaf/17313742,"Schiche, Theodor"
7,"Inama, Vigilio, 1835-1912",http://viaf.org/viaf/75149830,"Inama, Vigilio, 1835-1912"
8,"Romarino, Felice",http://viaf.org/viaf/252281727,"Romarino, Felice"
9,"Meissner, Carl, 1830-1900",http://viaf.org/viaf/27159657,"Meissner, Carl, 1830-1900"
10,"Klotz, Alfred, 1874-1956",http://viaf.org/viaf/12437909,"Klotz, Alfred, 1874-1956"
13,"Krumbiegel, Richard, 1867-",http://viaf.org/viaf/193967350,"Krumbiegel, Richard, 1867-"
14,"Boenig, Hermann",http://viaf.org/viaf/168507353,"Boenig, Hermann"
15,"Waltzing, Jean-Pierre, 1857-1929",http://viaf.org/viaf/45199363,"Waltzing, Jean-Pierre, 1857-1929"
16,"Röhl, Hermann, 1851-1923",http://viaf.org/viaf/91223281,"Röhl, Hermann, 1851-1923"
17,"Ritter, Constantin, 1859-1936",http://viaf.org/viaf/17283221,"Ritter, Constantin, 1859-1936"
18,"Radermacher, Ludwig, 1867-1952",http://viaf.org/viaf/5679336,"Radermacher, Ludwig, 1867-1952"
20,"Frey, Joseph, 1834-1910",http://viaf.org/viaf/81445136,"Frey, Joseph, 1834-1910"
21,"Deuerling, Andreas, 1838-1906",http://viaf.org/viaf/17964909,"Deuerling, Andreas, 1838-1906"
22,"Andresen, Georg, 1845-1929",http://viaf.org/viaf/79386784,"Andresen, Georg, 1845-1929"
23,"Sittl, Karl, 1862-1899",http://viaf.org/viaf/191393719,"Sittl, Karl, 1862-1899"
24,"Meyer, Wilhelm, 1845-1917.",http://viaf.org/viaf/44405315,"Meyer, Wilhelm, 1845-1917."
25,"Türk, Gustav",http://viaf.org/viaf/69712698,"Türk, Gustav"
