,Index,DLL Author,DLL Editors,Same or Different?,DLL Works Rachel,DLL Works SJH,Title,Place,Publisher,Date,Archive,Library Catalog,,,,,,
14,https://catalog.hathitrust.org/Record/006792412,45254 : Livy,"84187 : Weissenborn, Wilhelm, 1803-1878;84128 : Müller, Moritz, 1854- ",Same,Ab Urbe Condita (81186),Ab Urbe Condita (81186),Ab urbe condita libri.,Lipsiae,in aedibus B. G. Teubneri,1910,https://catalog.hathitrust.org/Record/006792412,1910,,,,,HathiTrust,Indiana University
18,https://catalog.hathitrust.org/Record/100151351,"45396 : Statius, P. Papinius (Publius Papinius)","91726 : Kohlmann, Philipp, 1842-1889",Same,Achilleis (81423);Thebais (81426),Achilleis (81423);Thebais (81426),Achilleis et Thebais.,Lipsiae,in aedibus B. G. Teubneri,1884,https://catalog.hathitrust.org/Record/100151351,1884,475 p.,,,,HathiTrust,Cornell University
65,https://catalog.hathitrust.org/Record/100644116,"45112 : Ovid, 43 B.C.-17 A.D. or 18 A.D.","89684 : Merkel, Rudolf, 1811-1885;91728 : Ehwald, Rudolf, 1847-1927",Different,Amores (81130);Heroides (81134);Medicamina Faciei Femineae (81140);Ars Amatoria (81131);Remedia Amoris (81143),Amores (81130);Heroides (81134);Medicamina Faciei Femineae (81140);Ars Amatoria (81131);Remedia Amoris (81143);Metamorphoses (81141);Tristia (81144);Ibis (81138);Epistulae ex Ponto (81135);Fasti (81136),P. Ovidius Naso,Lipsiae,in aedibus B. G. Teubneri,1887,https://catalog.hathitrust.org/Record/100644116,1887,,3 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Iowa
73,https://catalog.hathitrust.org/Record/100346341,"45336 : Plautus, Titus Maccius","89571 : Fleckeisen, Alfred, 1820-1899",Same,Amphitruo (81237);Captivi (81241);Miles Gloriosus (81249);Rudens (81254);Trinummus (81256);Asinaria (81238);Bacchides (81240);Curculio (81244);Pseudolus (81253);Stichus (81255),Amphitruo (81237);Captivi (81241);Miles Gloriosus (81249);Rudens (81254);Trinummus (81256);Asinaria (81238);Bacchides (81240);Curculio (81244);Pseudolus (81253);Stichus (81255),Comoediae,Lipsiae,in aedibus B. G. Teubneri,1874,https://catalog.hathitrust.org/Record/100346341,1874,,2 v.,,,HathiTrust,Harvard University
21,https://catalog.hathitrust.org/Record/012292857,45409 : Terence,"89571 : Fleckeisen, Alfred, 1820-1899",Different,Andria (81465);Heauton Timorumenos (81467);Eunuchus (81466);Phormio (81469);Hecyra (81468);Adelphoe (81464),Adelphoe (81464);Andria (81465);Eunuchus (81466);Heauton Timorumenos (81467);Hecyra (81468);Phormio (81469),P. Terenti Afri Comoediae,Lipsiae,in aedibus B. G. Teubneri,1905,https://catalog.hathitrust.org/Record/012292857,1905,311 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Pennsylvania State University
22,https://catalog.hathitrust.org/Record/100616584,45409 : Terence,"89571 : Fleckeisen, Alfred, 1820-1899",Different,Andria (81465);Heauton Timorumenos (81467);Eunuchus (81466);Phormio (81469);Hecyra (81468);Adelphoe (81464),Adelphoe (81464);Andria (81465);Eunuchus (81466);Heauton Timorumenos (81467);Hecyra (81468);Phormio (81469),Comoediae,Lipsiae,in aedibus B. G. Teubneri,1901,https://catalog.hathitrust.org/Record/100616584,1901,311 p.,,,,HathiTrust,University of Minnesota
101,https://catalog.hathitrust.org/Record/001810060,"45406 : Tacitus, Cornelius","89560 : Halm, Karl, 1809-1882",Same,Annales (81459);Historiae (81463);De Origine et Situ Germanorum (81460);De Vita Iulii Agricolae (81461);Dialogus de Oratoribus (81462),Annales (81459);Historiae (81463);De Origine et Situ Germanorum (81460);De Vita Iulii Agricolae (81461);Dialogus de Oratoribus (81462),Cornelii Taciti libri qui supersunt,Lipsiae,sumptibus et typis B. G. Teubneri,1876,https://catalog.hathitrust.org/Record/001810060,1876,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan
103,https://catalog.hathitrust.org/Record/001810056,"45406 : Tacitus, Cornelius","89560 : Halm, Karl, 1809-1882",Same,Annales (81459);Historiae (81463);De Origine et Situ Germanorum (81460);De Vita Iulii Agricolae (81461);Dialogus de Oratoribus (81462),Annales (81459);Historiae (81463);De Origine et Situ Germanorum (81460);De Vita Iulii Agricolae (81461);Dialogus de Oratoribus (81462),Cornelii Taciti libri qui supersunt,Lipsiae,sumptibus et typis B. G. Teubneri,1877,https://catalog.hathitrust.org/Record/001810056,1877,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan
102,https://catalog.hathitrust.org/Record/001810061,"45406 : Tacitus, Cornelius","89560 : Halm, Karl, 1809-1882",Same,Annales (81459);Historiae (81463);De Origine et Situ Germanorum (81460);De Vita Iulii Agricolae (81461);Dialogus de Oratoribus (81462),Annales (81459);Historiae (81463);De Origine et Situ Germanorum (81460);De Vita Iulii Agricolae (81461);Dialogus de Oratoribus (81462),Cornelii Taciti libri qui supersunt,Lipsiae,sumptibus et typis B. G. Teubneri,1883,https://catalog.hathitrust.org/Record/001810061,1883,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of Michigan
117,https://catalog.hathitrust.org/Record/003914549,"45615 : Seneca, Lucius Annaeus, approximately 4 B.C.-65 A.D.","89459 : Gercke, Alfred, 1860-1922;89460 : Hermes, Emil, 1847-1911;89461 : Haase, Friedrich, 1808-1867;84092 : Hense, Otto, 1845-1931;84097 : Hosius, Carl, 1866-1937",Different,Apocolocyntosis (81573); Epigrammata*;Fragmenta (90871);**Finish Works,Dialogi (81577);De Ira (89619);De Otio (89620);De Brevitate Vitae (89621);De Vita Beata (89622);De Tranquillitate Animi (89623);De Providentia (89624);De Consolatione ad Polybium (89625);De Consolatione ad Helviam (89626);De Consolatione ad Marciam (89627);De Constantia (89628);De Beneficiis (81574);De Clementia (81575);Naturales Quaestiones (81583);Epistulae Morales ad Lucilium (81578);Apocolocyntosis (81573);Epigrammata super exilio (91909);Fragmenta (90871),L. Annaei Senecae opera qvae svpersvnt ...,Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/003914549,1900,,4 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan
