Key,Authorized Name,Old Teubner Name,DLL Author Name
http://viaf.org/viaf/100899394,"Alvares, Manuel, 1526-1583","Álvares, Manuel, 1526-1583","91777 : Alvares, Manuel, 1526-1583"
http://viaf.org/viaf/79386784,"Andresen, Georg, 1845-","Andresen, Georg, 1845-1929","91778 : Andresen, Georg, 1845-"
http://viaf.org/viaf/117732601,"Baehrens, W. A. (Willem Adolf), 1885-1929","Baehrens, W. A. (Willem Adolf), 1885-1929","91779 : Baehrens, W. A. (Willem Adolf), 1885-1929"
http://viaf.org/viaf/85974992,"Bauer, Ludwig, active 1883-1892","Bauer, Ludwig, active 1883-1892","91780 : Bauer, Ludwig, active 1883-1892"
http://viaf.org/viaf/44387193,"Bekker, Immanuel, 1785-1871","Bekker, Immanuel, 1785-1871","91781 : Bekker, Immanuel, 1785-1871"
http://viaf.org/viaf/64749914,"Benndorf, Otto, 1838-1907","Benndorf, Otto, 1838-1907","91782 : Benndorf, Otto, 1838-1907"
http://viaf.org/viaf/88065580,"Benoist, Eugène, 1831-1887","Benoist, Eugène, 1831-1887","91783 : Benoist, Eugène, 1831-1887"
http://viaf.org/viaf/66637300,"Benseler, Gustav Eduard, 1806-1868","Benseler, Gustav Eduard, 1806-1868","91784 : Benseler, Gustav Eduard, 1806-1868"
http://viaf.org/viaf/34528124,"Bernays, Jacob, 1824-1881","Bernays, Jacob, 1824-1881.","91785 : Bernays, Jacob, 1824-1881"
http://viaf.org/viaf/66536121,"Bidez, Joseph, 1867-1945","Bidez, Joseph, 1867-1945","91786 : Bidez, Joseph, 1867-1945"
http://viaf.org/viaf/168507353,"Boenig, Hermann, 1860-","Boenig, Hermann","91787 : Boenig, Hermann, 1860-"
http://viaf.org/viaf/57366049,"Brandt, Paul, 1861-1932","Brandt, Paul, 1861-1932","91788 : Brandt, Paul, 1861-1932"
