,Index,DLL Author,DLL Editors,DLL Works,Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
452,https://catalog.hathitrust.org/Record/001768218,"84184 : Vahlen, Johannes, 1830-1911",,,Iohannis Vahleni professoris berolinensis Opuscula academica ...,Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/001768218,1907,,2 v.,,,Hathi Trust,Harvard University,Classical philology.,
338,https://catalog.hathitrust.org/Record/007373977,"84186 : Vollmer, Friedrich, 1867-1923",,,De funere publico Romanorum.,Lipsiae,in aedibus B. G. Teubneri,1892,https://catalog.hathitrust.org/Record/007373977,1892,,,,,HathiTrust,Harvard University,,
364,https://catalog.hathitrust.org/Record/100198739,"84191 : Zachariä von Lingenthal, Karl Eduard, 1812-1894",,,"Fragmenta, sive ex Ulpiani libro singulari regularum excerpta. Accedunt eiusdem Institutionum reliquiae ex codice Vindobonensi.",Lipsiae,in aedibus B. G. Teubneri,1884,https://catalog.hathitrust.org/Record/100198739,1884,36 p.,,,,HathiTrust,Harvard University,,
160,https://catalog.hathitrust.org/Record/006505520,"89583 : Struve, K. L. (Karl Ludwig), 1785-1838",,,Caroli Ludovici Struve ... Opuscula selecta,Lipsiae,sumptibus et typis B. G. Teubneri,1854,https://catalog.hathitrust.org/Record/006505520,1854,,2 v.,,,HathiTrust,University of California,Classical philology.,
350,https://catalog.hathitrust.org/Record/002072919,"89587 : Wachtler, Hans",,,De Alcmaeone Crotoniata.,Lipsiae,in aedibus B. G. Teubneri,1896,https://catalog.hathitrust.org/Record/002072919,1896,104 p.,,,,Hathi Trust,Harvard University,,
504,https://catalog.hathitrust.org/Record/100412389,"89590 : Brandt, Samuel, 1848-","89590: Brandt, Samuel, 1848-",,Eclogae poetarum latinorum,Lipsiae,in aedibus B. G. Teubneri,1897,https://catalog.hathitrust.org/Record/100412389,1897,137 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Illinois at Urbana-Champaign,"Collections.; Latin poetry; Latin poetry (Selections : Extracts, etc.)",
505,https://catalog.hathitrust.org/Record/001724531,"89590 : Brandt, Samuel, 1848-","89590: Brandt, Samuel, 1848-",,Eclogae poetarum latinorum,Lipsiae,in aedibus B. G. Teubneri,1881,https://catalog.hathitrust.org/Record/001724531,1881,146 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,University of Michigan,Latin poetry,
128,https://catalog.hathitrust.org/Record/008882710,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886","84104 : Kübler, Bernhard, 1859-1940;89616 : Seckel, Emil, 1864-1924",,Iurisprudentiae anteiustinianae,Lipsiae,in aedibus B. G. Teubneri,1908,https://catalog.hathitrust.org/Record/008882710,1908,,2 v.,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,Roman law; Sources.,
349,https://catalog.hathitrust.org/Record/100794819,"89604 : Kirchhoff, Alfred, 1838-1907",,,De Apulei clausularum compositione et arte quaestiones criticae,Lipsiae,in aedibus B. G. Teubneri,1902,https://catalog.hathitrust.org/Record/100794819,1902,56 p.,,,,Hathi Trust,University of California,,
328,https://catalog.hathitrust.org/Record/008399390,"89611 : Philoponus, John, active 6th century","89612 : Reichardt, Walther, 1869-",,De opificio mundi libri VII,Lipsiae,in aedibus B. G. Teubneri,1897,https://catalog.hathitrust.org/Record/008399390,1897,342 p.,,,,Hathi Trust,Columbia University,,
453,https://catalog.hathitrust.org/Record/100151344,"89611 : Philoponus, John, active 6th century","91866 : Rabe, Hugo, 1867-1932",,Ioannes Philoponus De aeternitate mundi contra Proclum,Lipsiae,in aedibus B. G. Teubneri,1899,https://catalog.hathitrust.org/Record/100151344,1899,699 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Cornell University,,
331,https://catalog.hathitrust.org/Record/006589628,"89613 : Schmidt, Paul Wilhelm, 1845-1921","89613 : Schmidt, Paul Wilhelm, 1845-1921 ",,"De Nonii Marcelli, auctoribus grammaticis.",Lipsiae,in aedibus B. G. Teubneri,1868,https://catalog.hathitrust.org/Record/006589628,1868,155 p.,,,,Hathi Trust,Harvard University,,
509,https://catalog.hathitrust.org/Record/001532709,"89614 : Schneider, Engelbert, 1857-1892","89614 : Schneider, Engelbert, 1857-1892",,Dialecti Latinae priscae et Falescae: inscriptiones usun scholarum.,Lipsiae,in aedibus B. G. Teubneri,1886,https://catalog.hathitrust.org/Record/001532709,1886,166 p.,,,,Hathi Trust,University of Michigan,Latin language; History.; Faliscan.; Italic languages and dialects,
330,https://catalog.hathitrust.org/Record/012187346,"89673 : Nordmeyer, Gustav, 1868-","89673 : Nordmeyer, Gustav, 1868-",,De Octaviae fabula,Lipsiae,in aedibus B. G. Teubneri,1892,https://catalog.hathitrust.org/Record/012187346,1892,,,,,HathiTrust,Columbia University,,
515,https://catalog.hathitrust.org/Record/100008339,"89674 : Pohlenz, M. (Max), 1872-1962",,,De Posidonii libris peri pathōn,Lipsiae,in aedibus B. G. Teubneri,1898,https://catalog.hathitrust.org/Record/100008339,1898,,,,,HathiTrust,The Ohio State University,,
513,https://catalog.hathitrust.org/Record/100456412,"89676 : Schwartz, Eduard, 1858-1940",,,De scholiis Homericis ad historiam fabvlarem pertinentibvs,Lipsiae,in aedibus B. G. Teubneri,1881,https://catalog.hathitrust.org/Record/100456412,1881,,,,,HathiTrust,Columbia University,,
576,https://catalog.hathitrust.org/Record/001724573,,"91779 : Baehrens, W. A. (Willem Adolf), 1885-1929;84045 : Baehrens, Emil, 1848-1888",,XII panegyrici latini; post Aemilium Baehrensiuri iterum recensuit Guilielmus Baehrens.,Lipisiae,in aedibus B. G. Teubneri,1911,https://catalog.hathitrust.org/Record/001724573,1911,326 p.,,,Bibliotheca scriptorum graecorum et romanorum Teubneriana. [S. r.],Hathi Trust,University of Michigan,,
577,https://catalog.hathitrust.org/Record/001724572,,"84045 : Baehrens, Emil, 1848-1888",,XII panegyrici latini.,Lipsiae,in aedibus B. G. Teubneri,1874,https://catalog.hathitrust.org/Record/001724572,1874,324 p.,,,Bibliotheca scriptorum graecorum et romanorum Teubneriana,Hathi Trust,Harvard University,,
579,https://catalog.hathitrust.org/Record/008895803,,,,Thesaurus linguae Latinae,Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/008895803,1900,,,,,Hathi Trust,University of California,fast; Latin language; Latin language.; Dictionaries.; (OCoLC)fst00993125; (OCoLC)fst01423826; Dictionnaires latins.; Dictionnaires.; gtt; Latijn.; Latin (Langue); Philologie latine,
479,https://catalog.hathitrust.org/Record/100329253,,"89680 : Funaioli, Gino, 1878-1958",,Grammaticae Romanae fragmenta collegit,Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/100329253,1907,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana. [Scriptores Romani],Hathi Trust,Harvard University,,
480,https://catalog.hathitrust.org/Record/000875541,,"89680 : Funaioli, Gino, 1878-1958",,Grammaticae romanae fragmenta,Lipsiae,in aedibus B. G. Teubneri,1907,https://catalog.hathitrust.org/Record/000875541,1907,614 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana.,Hathi Trust,University of Michigan,Latin language; Latin literature; Grammar; To 1500,
478,https://catalog.hathitrust.org/Record/002965783,,"84108 : Keil, Heinrich, 1822-1894;Hagen, Hermann, 1844-1898",,Grammatici latini ex recensione Henrici Keilii ...,Lipsiae,in aedibus B. G. Teubneri,1855,https://catalog.hathitrust.org/Record/002965783,1855,,7 v.,,,Hathi Trust,Harvard University,Latin language; Early to 1500; Grammar; Metrics and rhythmics.,
464,https://catalog.hathitrust.org/Record/001724582,,"91862 : Peter, Hermann, 1837-1914",,Historicorum romanorum fragmenta.,Lipsiae,in aedibus B. G. Teubneri,1883,https://catalog.hathitrust.org/Record/001724582,1883,428 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,Rome.; Historians,
282,https://catalog.hathitrust.org/Record/011538559,,"91713 : Ribbeck, Otto, 1827-1898",,Scenicae Romanorum poesis fragmenta,Lipsiae,in aedibus B. G. Teubneri,1852,https://catalog.hathitrust.org/Record/011538559,1852,,2 v.,,,Hathi Trust,Harvard University,Latin poetry.; Latin drama.,
276,https://catalog.hathitrust.org/Record/001058158,,"91713 : Ribbeck, Otto, 1827-1898",,Scaenicae Romanorvm poesis fragmenta tertiis cvris recognovit Otto Ribbeck ...,Lipsiae,in aedibus B. G. Teubneri,1897,https://catalog.hathitrust.org/Record/001058158,1897,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,Latin drama (Comedy); Latin drama (Tragedy),
432,https://catalog.hathitrust.org/Record/100227123,,"84117 : Lommatzsch, Ernst, 1871-1949;84049 : Buecheler, Franz, 1837-1908;84137 : Riese, Alexander, 1840-1922",,Anthologia latina: sive poesis latinae supplementum,Lipsiae,in aedibus B.G. Teubneri,1894,https://catalog.hathitrust.org/Record/100227123,1894,,2,,,HathiTrust,Harvard University,"Latin poetry.; Epigrams, Latin.",
433,https://catalog.hathitrust.org/Record/008882718,,"84137 : Riese, Alexander, 1840-1922;84049 : Buecheler, Franz, 1837-1908",,"Anthologia Latina, sive, Poesis Latinae supplementum",Lipsiae,in aedibus B. G. Teubneri,1894,https://catalog.hathitrust.org/Record/008882718,1894,,2,,,HathiTrust,Princeton Univeristy,"Latin poetry.; Epigrams, Latin.",
