,Ed1,Ed2,2,3,4,5
0,"84185: Vliet, Joannes van der, 1847-1902",,,,,
1,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,,
2,"84185: Vliet, Joannes van der, 1847-1902",,,,,
3,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,,
4,,,,,,
5,"84183 : Thomas, Paul, 1852-1937","84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",,,,
6,"89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",,,,,
7,"84053 : Dietsch, Heinrich Rudolf, 1814-1875","84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",,,,
8,"84053 : Dietsch, Heinrich Rudolf, 1814-1875","84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",,,,
9,,,,,,
10,"84127 : Müller, Lucian, 1836-1898",,,,,
11,"91810 : Gilbert, Walther, 1851-",,,,,
12,,,,,,
13,"91864 : Pichlmayr, Franz, 1861-1926",,,,,
14,,,,,,
15,,,,,,
16,"91789 : Breysig, Alfred August Bernhard, 1831-1901",,,,,
17,"89563 : Mohr, Paul",,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
22,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,
23,"84045 : Baehrens, Emil, 1848-1888",,,,,
24,"89607 : Lang, Carl, 1841-",,,,,
25,"91713 : 91713 : Ribbeck, Otto, 1827-1898",,,,,
26,"84054 : Dinter, Bernard",,,,,
27,"84054 : Dinter, Bernard",,,,,
28,,,,,,
29,,,,,,
30,"84104 : Kübler, Bernhard, 1859-1940",,,,,
31,"84190: Wölfflin, Eduard von, 1831-1908","84104 : Kübler, Bernhard, 1859-1940",,,,
32,"84190 : Wölfflin, Eduard von, 1831-1908","84104 : Kübler, Bernhard, 1859-1940",,,,
33,"84125 : Miodoński, Adam Stefan, 1861-1913","84190 : Wölfflin, Eduard von, 1831-1908",,,,
34,,,,,,
35,"84108 : Keil, Heinrich, 1822-1894",,,,,
36,"84089 : Goetz, Georg, 1849-1932",,,,,
37,"91869 : Ranke, Friedrich, 1882-1950",,,,,
38,"91796 : Dederich, Andreas, 1804-",,,,,
39,"89694 : Gundermann, Gotthold, 1856-1921",,,,,
40,"91731 : Frick, Karl, 1848-",,,,,
41,"89461 : Haase, Friedrich, 1808-1867",,,,,
42,"84186 : Vollmer, Friedrich, 1867-1923","84088 : Giarratano, Caesar, 1880-",,,,
43,"91844 : La Sale, Antoine de, 1385?-1461?","91836 : Knoellinger, Hermann, 1883-1914","91797 : Derz, Friedrich W.","89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,
44,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
45,"91893 : Wesenberg, Albert Sadolin, 1804-1876","89575 : Klotz, Reinhold, 1807-1870",,,,
46,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
47,"89575 : Klotz, Reinhold, 1807-1870",,,,,
48,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
49,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
50,"84053 : Dietsch, Heinrich Rudolf, 1814-1875","89575 : Klotz, Reinhold, 1807-1870",,,,
51,"89575 : Klotz, Reinhold, 1807-1870","84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,
52,"91836 : Knoellinger, Hermann, 1883-1914",,,,,
53,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,
