,0,1,2,3,4,5,6,7,8,9
0,"La Sale, Antoine de, 1385?-1461?"," Knoellinger, Hermann, 1883-1914"," Derz, Friedrich (1913-)"," 89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,
1,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
2,"Wesenberg, Albert Sadolin, 1804-1876"," 89575 : Klotz, Reinhold, 1807-1870",,,,,,,,
3,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
4,"89575 : Klotz, Reinhold, 1807-1870",,,,,,,,,
5,"Monet, Pascal",,,,,,,,,
6,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
7,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
8,"84053 : Dietsch, Heinrich Rudolf, 1814-1875"," 89575 : Klotz, Reinhold, 1807-1870",,,,,,,,
9,"89575 : Klotz, Reinhold, 1807-1870"," 84053 : Dietsch, Heinrich Rudolf, 1814-1875",,,,,,,,
10,"Knoellinger, Hermann, 1883-1914",,,,,,,,,
11,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
12,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
13,"89575 : Klotz, Reinhold, 1807-1870",,,,,,,,,
14,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
15,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
16,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
17,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
18,"Schiche, Theodor",,,,,,,,,
19,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
20,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
21,"Inama, Vigilio, 1835-1912"," Romarino, Felice",,,,,,,,
22,"Meissner, Carl, 1830-1900",,,,,,,,,
23,"89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,,,,
24,"Klotz, Alfred, 1874-1956",,,,,,,,,
25,"89684 : Merkel, Rudolf, 1811-1885"," 91728 : Ehwald, Rudolf, 1847-1927",,,,,,,,
26,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
27,"84186 : Vollmer, Friedrich, 1867-1923",,,,,,,,,
28,"89575 : Klotz, Reinhold, 1807-1870"," La Sale, Antoine de, 1385?-1461?"," Knoellinger, Hermann, 1883-1914"," 89608 : Müller, C. F. W. (Carl Friedrich Wilhelm), 1830-1903",,,,,,
29,"89459 : Gercke, Alfred, 1860-1922"," 89460 : Hermes, Emil, 1847-1911"," 89461 : Haase, Friedrich, 1808-1867"," 89695 : Heuse, Otto, 1902-"," 84097 : Hosius, Carl, 1866-1937",,,,,
30,"89460 : Hermes, Emil, 1847-1911",,,,,,,,,
31,"84104 : Kübler, Bernhard, 1859-1940"," 89616 : Seckel, Emil, 1864-1924",,,,,,,,
32,"89603 : Huschke, Ph. Eduard (Philipp Eduard), 1801-1886"," 84104 : Kübler, Bernhard, 1859-1940"," 89616 : Seckel, Emil, 1864-1924",,,,,,,
33,"89571 : Fleckeisen, Alfred, 1820-1899",,,,,,,,,
34,"84127 : Müller, Lucian, 1836-1898",,,,,,,,,
