Index,DLL Author,DLL Editors,DLL Works,Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
https://catalog.hathitrust.org/Record/001724802,44546 : Apuleius,"84185: Vliet, Joannes van der, 1847-1902",Apologia (80071);Florida (80077),"Lveii Apvlei Madavrensis Apologia, sive De magia liber et Florida",Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/001724802,1900,202 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,Harvard University,Magic,
https://catalog.hathitrust.org/Record/001724794,44546 : Apuleius,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966","Metamorphoses (80079);Apologia (80071);Florida (80077);De deo Socratis, praef. (dub.) (80074);De Deo Socratis (80073);Asclepius (dub.) (84222);De Platone et Eius Dogmate (80076);De Mundo (80075);Peri hermeneias (De interpretatione) (80080)",[Lucii] Apulei [Madaurensis] Opera quae supersunt. Rec. Rudolfus Helm. Vol. 1-3.,Lipsiae,in aedibus B. G. Teubneri,1903,https://catalog.hathitrust.org/Record/001724794,1903,,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,HathiTrust,University of Illinois at Urbana-Champaign,,
https://catalog.hathitrust.org/Record/100684828,44546 : Apuleius,"84185: Vliet, Joannes van der, 1847-1902",Apologia (80071);Florida (80077);Apologia (80071),"Apologia, sive, De magia liber, et Florida",Lipsiae,in aedibus B. G. Teubneri,1900,https://catalog.hathitrust.org/Record/100684828,1900,202 p.,,,,HathiTrust,University of Minnesota,,
https://catalog.hathitrust.org/Record/100684885,44546 : Apuleius,"84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",Apologia (80071),Apulei Platonici Madaurensis Pro se de magia liber (Apologia),Lipsiae,in aedibus B. G. Teubneri,1905,https://catalog.hathitrust.org/Record/100684885,1905,120 p.,,,,HathiTrust,University of Minnesota,,
https://catalog.hathitrust.org/Record/007027466,44546 : Apuleius,"89562: Helm, Rudolf, 1874-1964",Apologia (80071);De Deo Socratis (80073);De Mundo (80075);De Platone et Eius Dogmate (80076);Florida (80077);Metamorphoses (80079);Peri hermeneias (De interpretatione) (80080),Apulei Opera quae supersunt.,Lipsiae,B. G. Teubner,1912,https://catalog.hathitrust.org/Record/007027466,1912,,,,Works.1912,HathiTrust,University of California,,
https://catalog.hathitrust.org/Record/100108983,,"84183 : Thomas, Paul, 1852-1937;84091 : Helm, Rudolf Wilhelm Oskar, 1872-1966",Apologia (80071);De Deo Socratis (80073);De Mundo (80075);De Platone et Eius Dogmate (80076);Florida (80077);Metamorphoses (80079);Peri hermeneias (De interpretatione) (80080),Apulei Opera quae supersunt,Lipsiae,in aedibus B. G. Teubneri,1910,https://catalog.hathitrust.org/Record/100108983,1910,,,,,HathiTrust,Ohio State University,,
https://catalog.hathitrust.org/Record/010551078,44653 : Censorinus,"89602 : Hultsch, Fridericus (Friedrich Otto), 1833-1906",De die natali liber (80339),De die natali liber,Lipsiae,in aedibus B. G. Teubneri,1867,https://catalog.hathitrust.org/Record/010551078,1867,98 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,New York Public Library,,
https://catalog.hathitrust.org/Record/011606359,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875;84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",Breuiarium ab urbe condita (80507),Breviarium historiae Romanae,Lipsiae,sumptibus et typis B. G. Teubneri,1850,https://catalog.hathitrust.org/Record/011606359,1850,,,,,HathiTrust,Harvard University,,
https://catalog.hathitrust.org/Record/100676168,"44757 : Eutropius, active 4th century","84053 : Dietsch, Heinrich Rudolf, 1814-1875;84046 : Baumgarten-Crusius, Detlev Carl Wilhelm, 1786-1845",Breuiarium ab urbe condita (80507),"Eutropii Breviarium historiae romanae: editionem primam curavit Detl. C.G. Baumgarten-Crusius, alteram henricus Rudolfus Dietsch.",Lipsiae,B.G. Teubner,1865,https://catalog.hathitrust.org/Record/100676168,1865,78 p.,,,,HathiTrust,University of Minnesota,Rome; History.,
https://catalog.hathitrust.org/Record/008905026,"44757 : Eutropius, active 4th century","91895 : Rühl, Franz, 1845-1916",Breuiarium ab urbe condita (80507),Breviarium ad urbe condita.,Lipsiae,B. G. Teubner,1887,https://catalog.hathitrust.org/Record/008905026,1887,90 p.,,,,HathiTrust,Princeton Univeristy,,
