Index,Author,Editor,DLL Work Authority Record(s),Title,Place,Publisher,Date,Url,Publication Year,Num Pages,Number Of Volumes,Short Title,Series,Archive,Library Catalog,Manual Tags,Automatic Tags
49,"45036 : Cicero, Marcus Tullius","Monet, Pascal",Laelius de Amicitia (80955),M. Tullii Ciceronis Lælius de amicitia: texte Latin,Paris,A. Colin,1895,https://catalog.hathitrust.org/Record/009621931,1895,127 p.,,M. Tullii Ciceronis Lælius de amicitia,,Hathi Trust,University of California,COPIED TO NOT TEUBNER,
167,"52594 : Namatianus, Claudius Rutilius, active 5th century","89543 : Vessereau, Jules, 1863-",,Cl. Rutilius Namatianus.,Paris,A. Fontemoing,1904,https://catalog.hathitrust.org/Record/006100982,1904,437 p.,,,,HathiTrust,University of California,COPIED TO NOT TEUBNER,
695,"45036 : Cicero, Marcus Tullius","Davies, John, 1679-1732; Moser, Georg Heinrich, 1780-1858",,M. Tullii Ciceronis Tusculanarum disputationum. libri quinque,Hanoverae,A. Hahn,1836,https://catalog.hathitrust.org/Record/008521436,1836,,3 v.,,,Hathi Trust,University of California,COPIED TO NOT TEUBNER,
274,45429 : Virgil,"84097 : Hosius, Carl, 1866-1937",,P. Vergili Maronis Bvcolica,Bonn,A. Marcus und E. Weber,1915,https://catalog.hathitrust.org/Record/100783633,1915,64 p.,,,,Hathi Trust,University of Iowa,COPIED TO NOT TEUBNER,
650,"89671 : Leeuwen, J. van, Jr. (Jan van), 1850-1924",,,Enchiridium dictionis epicae,Lugduni Batavorum,A.W. Sijthoff,1894,https://catalog.hathitrust.org/Record/000918289,1894,606 p,,,,Hathi Trust,Harvard University,COPIED TO NOT TEUBNER,
649,"89671 : Leeuwen, J. van, Jr. (Jan van), 1850-1924",,,Enchiridium dictionis epicae,Lugduni Batavorum,A.W. Sitjhoff,1892,https://catalog.hathitrust.org/Record/006258490,1892,,,,,Hathi Trust,University of California,COPIED TO NOT TEUBNER,
322,"89597 : Graux, Charles Henri, 1852-1882",,,De Plutarchi codice manu scripto matritensi injuria neglecto.,Lutetiae Parisiorum,apud Carrolum Klincksieck,1880,https://catalog.hathitrust.org/Record/100383606,1880,57 p.,,,,Hathi Trust,Harvard University,COPIED TO NOT TEUBNER,
669,"Havet, Louis, 1849-1925",,,De saturnio latinorum versu.,Parisiis,"apud F. Vieweg, Bibliopolam",1880,https://catalog.hathitrust.org/Record/008901848,1880,517 p.,,,,Hathi Trust,Princeton University,COPIED TO NOT TEUBNER; Saturnian verse,
667,"89667 : Bourchenin, Pierre Daniel, 1853-1933",,,De Tanaquilli Fabri vita et scriptis. [Thesis.],Lutetiae Parisiorum,apud Grassart Bibliopolam,1884,https:/catalog.hathitrust.org/Record/100382313,1884,,,,,HathiTrust,Harvard University,COPIED TO NOT TEUBNER,
588,"89611 : Philoponus, John, active 6th century","Egenolff, Peter, 1851-1901",,Ioannis Philoponi Collectio vocum quae pro diversa significatione accentum diversum accipiunt,Vratislaviae,apud Guilelmum Koebnerum,1965,https://catalog.hathitrust.org/Record/100737791,1965,,,,,Hathi Trust,University of Chicago,COPIED TO NOT TEUBNER,
708,,"Chatelain, Émile, 1851-1933",,Vncialis scriptvra codicvm latinorvm novis exemplis illvstrata ...,Lutetiae Parisiorum,apud H. Welter,1901,https://catalog.hathitrust.org/Record/001757115,1901,182 p.,,,,Hathi Trust,University of California,"COPIED TO NOT TEUBNER; Manuscripts, Latin; Facsimiles.; Paleography, Latin",
672,"89670 : Larroumet, Gustave",,,De quarto Tibulli libro ...,Parisiis,Apud Hachette et Socios,1882,https://catalog.hathitrust.org/Record/006552446,1882,77 p.,,,,HathiTrust,Harvard University,COPIED TO NOT TEUBNER,
658,"89617 : Vermaat, Hendrik",,,"Disputatio de aetate, qua conscripta est Historia Augusta specimen litterarium inaugurale quod...submittet Henricus Vermaat...",Lugduni-Batavorum,apud J. W. van Leeuwen,1893,https://catalog.hathitrust.org/Record/100457586,1893,128 p.,,,,HathiTrust,Columbia University,COPIED TO NOT TEUBNER,
657,"89688 : Wyttenbach, Daniel Albert, 1746-1820; 89686 : Wesele Scholten, Benjamin Petrus van, 1762-1829",,,"Dissertatio philosophico-critica de philosophiae Ciceronianae loco, qui est de divina natura.",Amstelodami,Apud P. den Hengst,1783,https://catalog.hathitrust.org/Record/002468386,1783,80 p.,,,,HathiTrust,Princeton University,COPIED TO NOT TEUBNER,
224,,"89557 : Peerlkamp, Petrus Hofman, 1786-1865; 89561 : Hamaker, H. A. (Hendrik Arent), 1789-1835; 89553 : Geel, Jacob, 1789-1862; 89545 : Bake, John, 1787-1864",,Bibliotheca critica nova.,Lugduni Batavorum,apud S. et I. Luchtmans,1825,https://catalog.hathitrust.org/Record/009722719,1825,,5 v.,,,HathiTrust,,COPIED TO NOT TEUBNER; History and criticism.; Bibliography.; Books; Classical literature; Reviews.,
556,44524: Ammianus Marcellinus,"84051 : Clark, Charles Upson, 1875-1960",,Ammiani Marcellini Rervm gestarvm libri qvi svpersvnt.,Berolini,apud Weidmannos,1910,https://catalog.hathitrust.org/Record/008883631,1910,,2,,,HathiTrust,Princeton University,"Rome; COPIED TO NOT TEUBNER; (OCoLC)fst01204885; fast; Rome (Empire); History; History.; (OCoLC)fst01411628; Empire, 284-476",
574,44524 : Ammianus Marcellinus,"84051 : Clark, Charles Upson, 1875-1960",,Ammiani Marcellini Rerum gestarum libri qui supersunt,Berolini,apud Weidmannos,1910,https://catalog.hathitrust.org/Record/008235161,1910,,2 v.,,,HathiTrust,University of California,COPIED TO NOT TEUBNER,
142,"44669 : Commodianus; 89551 : Dombart, Bernhard, 1832-1907",,,Commodiani Carmina. Recensvit et commentario critico instrvxit Bernhardvs Dombart.,Vindobonae,apvd C. Geroldi filivm,1887,https://catalog.hathitrust.org/Record/001220900,1887,250 p.,,,,HathiTrust,University of Michigan,COPIED TO NOT TEUBNER,
4,44546 : Apuleius,,Apologia (80071);De Deo Socratis (80073);De Mundo (80075);De Platone et Eius Dogmate (80076);Florida (80077);Metamorphoses (80079);Peri hermeneias (De interpretatione) (80080),Apulei Opera quae supersunt.,Lipsiae,B. G. Teubner,1912,https://catalog.hathitrust.org/Record/007027466,1912,,,,Works.1912,HathiTrust,University of California,,
9,"44757 : Eutropius, active 4th century",,Breuiarium ab urbe condita (80507),Breviarium ad urbe condita.,Lipsiae,B. G. Teubner,1887,https://catalog.hathitrust.org/Record/008905026,1887,90 p.,,,,HathiTrust,Princeton Univeristy,,
25,"45428 : Vegetius Renatus, Flavius","89607 : Lang, Carl, 1841-",,Epitoma rei militaris,Lipsiae,B. G. Teubner,1885,https://catalog.hathitrust.org/Record/100320342,1885,255 p.,,,,Hathi Trust,Harvard University,,
39,"45777 : Frontinus, Sextus Julius","Dederich, Andreas, 1804-1886",,Sex. Iulii Frontini Strategematicon libri quattuor: Eiusdem De aquae ductibus urbis Romae liber,Lipsiae,B. G. Teubner,1855,https://catalog.hathitrust.org/Record/006193973,1855,155 p.,,Sex. Iulii Frontini Strategematicon libri quattuor,,Hathi Trust,Harvard University,Early works to 1800; Rome.; Military art and science; Italy; Water-supply,
42,45932 : Velleius Paterculus,"89461 : Haase, Friedrich, 1808-1867",,M. Vellei Paterculi ex Historiae Romanae ...,Lipsiae,B. G. Teubner,1884,https://catalog.hathitrust.org/Record/001810350,1884,124 p.,,,Bibliotheca scriptorum Graecorum et Romanorum Teubneriana,Hathi Trust,Harvard University,,
